i;word;anzahl;rangRatio;p;pSumCount;Abw
1;  ;2645;1.0;0.2709;2852.2169;-0.0783
2;ll;1423;0.5;0.1355;1426.1085;-0.0022
3;ss;1228;0.3333;0.0903;950.739;0.2258
4;ee;1110;0.25;0.0677;713.0542;0.3576
5;\n\n;817;0.2;0.0542;570.4434;0.3018
6;oo;649;0.1667;0.0452;475.3695;0.2675
7;tt;542;0.1429;0.0387;407.4596;0.2482
8;pp;501;0.125;0.0339;356.5271;0.2884
9;rr;423;0.1111;0.0301;316.913;0.2508
10;ff;301;0.1;0.0271;285.2217;0.0524
11;cc;243;0.0909;0.0246;259.2924;-0.067
12;nn;198;0.0833;0.0226;237.6847;-0.2004
13;mm;165;0.0769;0.0208;219.4013;-0.3297
14;--;127;0.0714;0.0194;203.7298;-0.6042
15;dd;100;0.0667;0.0181;190.1478;-0.9015
16;gg;33;0.0625;0.0169;178.2636;-4.4019
17;bb;11;0.0588;0.0159;167.7775;-14.2525
18;zz;5;0.0556;0.0151;158.4565;-30.6913
19;11;3;0.0526;0.0143;150.1167;-49.0389
20;aa;1;0.05;0.0135;142.6108;-141.6108
21;hh;1;0.0476;0.0129;135.8199;-134.8199
22;22;1;0.0455;0.0123;129.6462;-128.6462
