i;word;anzahl;rangRatio;p;pSumCount;Abw
1; ;17635;1.0;0.2503;30645.4054;-0.7378
2;e;16844;0.5;0.1252;15322.7027;0.0903
3;n;9737;0.3333;0.0834;10215.1351;-0.0491
4;r;7703;0.25;0.0626;7661.3513;0.0054
5;i;7206;0.2;0.0501;6129.0811;0.1494
6;s;5913;0.1667;0.0417;5107.5676;0.1362
7;t;5837;0.1429;0.0358;4377.9151;0.25
8;a;5348;0.125;0.0313;3830.6757;0.2837
9;h;5235;0.1111;0.0278;3405.045;0.3496
10;d;4603;0.1;0.025;3064.5405;0.3342
11;u;3816;0.0909;0.0228;2785.9459;0.2699
12;l;3373;0.0833;0.0209;2553.7838;0.2429
13;g;3360;0.0769;0.0193;2357.3389;0.2984
14;c;3322;0.0714;0.0179;2188.9575;0.3411
15;m;2766;0.0667;0.0167;2043.027;0.2614
16;o;2221;0.0625;0.0156;1915.3378;0.1376
17;ã;2211;0.0588;0.0147;1802.6709;0.1847
18;\n;1920;0.0556;0.0139;1702.5225;0.1133
19;,;1868;0.0526;0.0132;1612.9161;0.1366
20;w;1755;0.05;0.0125;1532.2703;0.1269
21;b;1711;0.0476;0.0119;1459.305;0.1471
22;f;1653;0.0455;0.0114;1392.973;0.1573
23;z;1385;0.0435;0.0109;1332.4089;0.038
24;k;1210;0.0417;0.0104;1276.8919;-0.0553
25;v;824;0.04;0.01;1225.8162;-0.4876
26;¼;816;0.0385;0.0096;1178.6694;-0.4444
27;.;630;0.037;0.0093;1135.015;-0.8016
28;¤;581;0.0357;0.0089;1094.4788;-0.8838
29;p;485;0.0345;0.0086;1056.7381;-1.1788
30;ÿ;460;0.0333;0.0083;1021.5135;-1.2207
