i;word;anzahl;rangRatio;p;pSumCount;Abw
1;  ;595;1.0;0.278;800.5026;-0.3454
2;ll;525;0.5;0.139;400.2513;0.2376
3;oo;493;0.3333;0.0927;266.8342;0.4588
4;ee;393;0.25;0.0695;200.1257;0.4908
5;ss;192;0.2;0.0556;160.1005;0.1661
6;tt;140;0.1667;0.0463;133.4171;0.047
7;\n\n;110;0.1429;0.0397;114.3575;-0.0396
8;pp;96;0.125;0.0347;100.0628;-0.0423
9;ff;88;0.1111;0.0309;88.9447;-0.0107
10;rr;83;0.1;0.0278;80.0503;0.0355
11;mm;40;0.0909;0.0253;72.773;-0.8193
12;dd;37;0.0833;0.0232;66.7086;-0.8029
13;nn;33;0.0769;0.0214;61.5771;-0.866
14;cc;25;0.0714;0.0199;57.1788;-1.2872
15;gg;15;0.0667;0.0185;53.3668;-2.5578
16;bb;8;0.0625;0.0174;50.0314;-5.2539
17;ii;3;0.0588;0.0164;47.0884;-14.6961
18;..;2;0.0556;0.0154;44.4724;-21.2362
19;zz;1;0.0526;0.0146;42.1317;-41.1317
20;--;1;0.05;0.0139;40.0251;-39.0251
