i;word;anzahl;rangRatio;p;pSumCount;Abw
1;tt;487;1.0;0.278;721.0083;-0.4805
2;ll;436;0.5;0.139;360.5041;0.1732
3;nn;389;0.3333;0.0927;240.3361;0.3822
4;mm;316;0.25;0.0695;180.2521;0.4296
5;ss;264;0.2;0.0556;144.2017;0.4538
6;  ;150;0.1667;0.0463;120.168;0.1989
7;rr;127;0.1429;0.0397;103.0012;0.189
8;\n\n;126;0.125;0.0347;90.126;0.2847
9;ff;97;0.1111;0.0309;80.112;0.1741
10;--;92;0.1;0.0278;72.1008;0.2163
11;ee;40;0.0909;0.0253;65.5462;-0.6387
12;pp;32;0.0833;0.0232;60.084;-0.8776
13;aa;16;0.0769;0.0214;55.4622;-2.4664
14;gg;7;0.0714;0.0199;51.5006;-6.3572
15;kk;4;0.0667;0.0185;48.0672;-11.0168
16;uu;3;0.0625;0.0174;45.063;-14.021
17;ii;3;0.0588;0.0164;42.4123;-13.1374
18;hh;2;0.0556;0.0154;40.056;-19.028
19;bb;2;0.0526;0.0146;37.9478;-17.9739
20;dd;1;0.05;0.0139;36.0504;-35.0504
